Ward,Neighbourhood Number,Neighbourhood Name,"No Certificate, Diploma or Degree",High School Diploma or Equivalent,Trades Certificate,Registered Apprenticeship Certificate,College Certificate or Diploma,University Certificate Below Bachelor's Level,Bachelor's Degree,University Certificate or Diploma above Bachelor Level,Medical Degree,Master's Degree,Earned Doctorate,No Response
WARD 9,5467,CAVANAGH,0,0,0,0,0,0,0,0,0,0,0,0
WARD 11,6190,EDMONTON RESEARCH AND DEVELOPMENT PARK,0,0,0,0,0,0,0,0,0,0,0,0
WARD 2,3020,BARANOW,98,168,34,1,96,28,61,58,7,13,2,308
WARD 11,6720,TAWA,91,341,50,9,192,41,171,18,4,45,6,468
WARD 3,4017,ANTHONY HENDAY LAKE DISTRICT,0,0,0,0,0,0,0,0,0,0,0,0
WARD 4,2251,EBBERS,3,15,3,0,27,6,10,3,0,2,1,0
WARD 1,4710,POTTER GREENS,49,284,46,6,202,51,213,42,18,42,8,162
WARD 8,6061,CAPILANO,70,342,115,15,248,56,311,45,3,103,16,32
WARD 8,6270,GOLD BAR,104,487,113,15,324,48,206,27,5,40,11,638
WARD 10,5220,GREENFIELD,49,363,72,21,253,98,404,100,8,155,64,"1,410"
WARD 6,3300,MCQUEEN,40,174,33,11,98,17,116,12,0,30,5,792
WARD 1,4510,STONE INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,0
WARD 8,5480,STRATHCONA,115,740,168,25,568,179,"1,275",184,96,657,264,"1,202"
WARD 11,6600,RICHFIELD,127,698,130,11,347,84,206,22,9,75,8,246
WARD 8,5290,MCKERNAN,33,265,276,60,147,42,522,46,55,176,85,206
WARD 11,6780,WEIR INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,0
WARD 6,1030,CENTRAL MCDOUGALL,166,583,60,14,290,86,271,34,9,107,10,"1,600"
WARD 9,5350,RHATIGAN RIDGE,21,384,54,8,156,112,594,72,75,183,78,261
WARD 2,1280,YELLOWHEAD CORRIDOR WEST,0,0,0,0,0,0,0,0,0,0,0,0
WARD 11,6260,GIRARD INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,0
WARD 12,6660,RURAL SOUTH EAST,13,46,7,0,21,1,15,2,3,4,2,14
WARD 11,6160,DAVIES INDUSTRIAL EAST,0,0,0,0,0,0,0,0,0,0,0,0
WARD 5,4610,WESTRIDGE,19,123,27,4,129,70,157,94,35,78,24,131
WARD 11,6280,GREENVIEW,60,329,105,14,262,46,195,33,7,66,13,891
WARD 2,3090,CARLISLE,152,742,154,13,396,57,278,14,3,37,5,332
WARD 7,2100,BEVERLY HEIGHTS,433,603,167,24,302,83,145,31,5,50,0,347
WARD 1,4620,WESTVIEW VILLAGE,184,424,60,3,198,32,16,8,0,3,1,23
WARD 7,2420,KILLARNEY,234,669,128,46,292,76,105,25,17,22,6,"1,217"
WARD 1,4350,NORWESTER INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,0
WARD 6,3210,GROVENOR,67,291,58,4,204,26,223,37,10,75,23,448
WARD 11,6360,KING EDWARD PARK,130,628,156,15,342,45,492,53,9,141,42,"1,218"
WARD 1,4230,JASPER PARK,92,267,55,5,151,20,107,11,3,20,6,426
WARD 9,5620,HODGSON,75,308,46,2,219,44,421,42,39,136,47,740
WARD 1,4018,ANTHONY HENDAY BIG LAKE,0,0,0,0,0,0,0,0,0,0,0,0
WARD 2,4170,GARSIDE INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,0
WARD 4,2340,HOLLICK-KENYON,235,"1,078",204,36,681,69,559,42,5,94,15,"1,153"
WARD 4,2030,BANNERMAN,226,814,189,24,409,78,188,24,8,34,5,50
WARD 11,6650,ROSEDALE INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,0
WARD 2,1250,WESTWOOD,167,420,95,11,242,38,126,35,2,34,6,916
WARD 11,6010,ARGYLL,16,64,14,0,51,6,57,9,0,15,5,291
WARD 4,4021,ANTHONY HENDAY HORSE HILL,0,0,0,0,0,0,0,0,0,0,0,0
WARD 8,5580,WINDSOR PARK,9,58,12,0,32,15,249,36,41,87,86,"1,633"
WARD 8,6550,OTTEWELL,233,813,221,27,560,84,589,72,11,122,32,"1,380"
WARD 10,5320,PLEASANTVIEW,117,521,121,19,348,108,418,52,20,145,46,545
WARD 10,5460,SKYRATTLER,63,373,71,13,253,59,321,39,4,100,18,158
WARD 7,1010,ALBERTA AVENUE,599,"1,198",271,28,539,118,366,51,12,101,21,848
WARD 1,4740,WEBBER GREENS,25,132,33,5,136,26,124,11,3,42,3,829
WARD 4,2070,BELMONT,225,897,142,23,447,103,155,38,5,16,8,"1,433"
WARD 11,6300,HILLVIEW,131,470,120,16,353,66,232,27,13,54,6,639
WARD 7,2230,DELWOOD,275,629,177,16,265,90,98,40,1,19,5,412
WARD 7,2290,GLENGARRY,199,368,106,8,156,34,102,17,2,18,0,"1,245"
WARD 7,1240,VIRGINIA PARK,29,87,20,0,44,13,45,23,3,19,10,194
WARD 3,2260,EVANSDALE,408,"1,012",209,20,396,112,219,27,6,42,2,874
WARD 12,6030,BISSET,116,694,118,22,365,84,306,31,8,104,7,378
WARD 5,4080,CALLINGWOOD SOUTH,166,771,101,31,419,69,367,45,12,89,9,574
WARD 2,3050,BROWN INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,0
WARD 2,3290,MCARTHUR INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,0
WARD 2,3410,SHERBROOKE,64,270,61,11,178,33,120,14,3,24,4,"1,032"
WARD 11,6680,SATOO,130,554,135,24,302,89,194,26,2,45,10,"1,054"
WARD 8,6240,FULTON PLACE,53,241,66,8,176,35,204,45,2,51,10,221
WARD 10,5430,ROYAL GARDENS,59,358,63,11,271,58,354,29,10,114,48,"1,028"
WARD 9,5610,HADDOW,83,469,84,14,361,93,619,111,31,221,76,410
WARD 9,5630,LEGER,42,166,23,3,145,29,286,35,11,99,30,777
WARD 1,4180,GLENWOOD,273,813,139,11,455,87,257,32,6,53,7,"1,368"
WARD 11,6420,MAPLE RIDGE INDUSTRIAL,0,2,0,1,1,0,2,1,0,0,0,1
WARD 1,4200,HIGH PARK,69,158,40,6,93,6,42,14,3,6,2,127
WARD 12,6770,WEINLOS,75,378,81,5,188,37,150,27,4,40,6,"1,230"
WARD 6,1210,RIVERDALE,28,200,49,4,157,33,260,54,14,146,42,485
WARD 11,6250,GAINER INDUSTRIAL,10,71,23,2,73,5,51,9,2,15,2,81
WARD 11,6195,SOUTH EDMONTON COMMON,0,0,0,0,0,0,0,0,0,0,0,0
WARD 7,1130,ELMWOOD PARK,113,193,41,6,81,32,16,9,1,2,1,70
WARD 1,4340,MORIN INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,0
WARD 12,6662,WALKER,161,712,187,31,787,289,"1,072",98,21,290,28,908
WARD 10,5530,UNIVERSITY OF ALBERTA FARM,0,0,0,0,0,0,0,0,0,0,0,0
WARD 11,6570,PARSONS INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,0
WARD 9,5642,SOUTH TERWILLEGAR,102,722,214,14,683,304,956,148,41,332,98,"1,885"
WARD 1,4090,CANORA,147,492,58,8,257,77,94,21,6,24,4,327
WARD 5,3382,RIVER VALLEY LAURIER,0,0,0,0,0,0,0,0,0,0,0,0
WARD 2,3350,PRINCE CHARLES,50,172,40,4,87,18,53,4,0,20,2,88
WARD 3,2600,OZERNA,169,636,97,19,386,70,235,60,7,33,4,517
WARD 4,2521,MCCONACHIE AREA,84,521,102,16,363,49,373,27,12,68,8,"1,687"
WARD 5,4430,RIO TERRACE,13,135,22,4,101,19,192,32,10,61,14,396
WARD 2,3470,CARLTON,112,519,130,14,475,83,410,73,19,78,13,391
WARD 1,4590,WEST MEADOWLARK PARK,62,363,63,9,211,60,134,20,1,30,5,"1,152"
WARD 1,4520,SUMMERLEA,117,384,64,6,256,32,177,21,8,54,7,214
WARD 2,3460,ALBANY,50,195,47,5,136,26,58,68,10,24,0,33
WARD 1,4410,POUNDMAKER INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,0
WARD 12,6440,MEADOWS AREA,0,0,0,0,0,0,0,0,0,0,0,0
WARD 5,4070,CALLINGWOOD NORTH,106,502,129,9,247,66,167,36,6,47,10,247
WARD 2,4150,GAGNON ESTATE INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,0
WARD 10,5030,BEARSPAW,52,335,50,9,260,41,345,62,9,119,37,151
WARD 9,5576,KESWICK AREA,8,52,20,4,66,14,134,20,3,45,7,30
WARD 2,1170,PRINCE RUPERT,12,63,19,3,48,10,39,9,1,20,2,116
WARD 11,6100,CORONET INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,0
WARD 11,6410,MAPLE RIDGE,97,326,66,4,115,11,15,8,0,3,0,478
WARD 4,2145,CLAREVIEW TOWN CENTRE,56,329,85,13,260,70,258,63,14,79,9,934
WARD 2,4023,ANTHONY HENDAY RAMPART,0,0,0,0,0,0,0,0,0,0,0,0
WARD 7,2010,ABBOTTSFIELD,123,322,34,3,169,6,88,3,1,22,4,617
WARD 5,4280,LYNNWOOD,121,519,82,15,327,76,316,81,23,88,8,73
WARD 2,3240,INGLEWOOD,276,866,610,61,530,127,441,83,75,172,20,"1,056"
WARD 7,2550,MONTROSE,172,536,99,20,218,59,145,34,2,21,2,530
WARD 4,2541,MILLER,92,405,84,14,275,69,198,20,5,35,6,739
WARD 9,5300,OGILVIE RIDGE,8,92,13,4,68,31,125,27,21,60,22,211
WARD 6,1150,OLIVER,402,"1,993",348,67,"1,462",388,"2,179",343,112,858,229,"2,653"
WARD 5,4420,QUESNELL HEIGHTS,7,51,2,1,24,7,99,15,15,34,10,2
WARD 12,6370,KINISKI GARDENS,175,865,200,32,619,129,411,78,11,110,7,"1,615"
WARD 9,5466,CASHMAN,0,0,0,0,0,0,0,0,0,0,0,0
WARD 7,2020,BALWIN,351,800,140,21,247,42,112,28,1,15,1,508
WARD 12,6661,CHARLESWORTH,113,628,169,26,507,102,559,63,18,159,17,483
WARD 4,4019,ANTHONY HENDAY ENERGY PARK,0,0,0,0,0,0,0,0,0,0,0,0
WARD 1,4500,SHERWOOD,58,180,45,4,121,22,55,9,1,12,2,87
WARD 5,4560,THORNCLIFF,116,497,103,8,317,37,229,40,6,38,12,362
WARD 6,1090,DOWNTOWN,183,"1,249",149,31,735,124,"1,768",207,82,635,159,"3,036"
WARD 3,3040,BEAUMARIS,194,662,91,15,345,83,217,59,4,56,6,944
WARD 7,2560,NEWTON,186,436,97,5,220,36,94,38,2,27,3,748
WARD 3,3490,GOODRIDGE CORNERS,0,0,0,0,0,0,0,0,0,0,0,"1,418"
WARD 2,3340,PEMBINA,22,72,31,6,108,18,31,13,0,3,1,59
WARD 8,6310,HOLYROOD,59,267,88,11,202,39,275,51,6,95,31,"1,016"
WARD 9,5477,MACTAGGART,71,220,32,4,216,66,375,47,58,118,44,236
WARD 12,6213,SUMMERSIDE,211,"1,389",335,43,"1,282",320,"1,543",188,68,402,58,"2,313"
WARD 12,6211,ELLERSLIE,92,539,141,9,496,141,379,106,14,136,9,491
WARD 6,3440,WESTMOUNT,120,677,133,16,510,118,760,151,46,300,89,"1,325"
WARD 8,5151,STRATHCONA JUNCTION,0,0,0,0,0,0,0,0,0,0,0,0
WARD 8,6710,STRATHEARN,65,178,43,10,125,38,171,30,17,75,14,"1,215"
WARD 4,2160,CLOVER BAR AREA,0,0,0,0,0,0,0,0,0,0,0,57
WARD 10,5180,ERMINESKIN,191,692,140,17,519,118,488,125,22,141,42,"1,300"
WARD 2,3160,DOMINION INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,0
WARD 4,4022,ANTHONY HENDAY CLAREVIEW,0,0,0,0,0,0,0,0,0,0,0,0
WARD 2,3360,RAMPART INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,0
WARD 5,4466,CAMERON HEIGHTS,11,122,46,6,139,26,190,22,19,46,13,237
WARD 10,5310,PARKALLEN,22,225,62,11,124,48,396,37,17,158,76,301
WARD 4,2350,HOMESTEADER,207,784,137,13,334,96,112,17,3,16,5,366
WARD 8,6320,IDYLWYLDE,124,353,64,5,175,19,227,33,1,59,12,161
WARD 1,4660,YOUNGSTOWN INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,0
WARD 5,4551,GRANVILLE,40,183,55,30,194,42,141,24,5,26,7,11
WARD 3,2410,KILKENNY,286,786,157,14,392,57,249,26,3,33,6,"1,729"
WARD 11,6290,HAZELDEAN,98,458,167,7,280,34,327,24,5,89,26,999
WARD 12,6150,DALY GROVE,153,580,126,16,278,47,201,30,4,68,7,932
WARD 1,4240,LA PERLE,204,845,195,22,508,129,374,35,8,63,16,294
WARD 4,2390,KERNOHAN,133,680,120,14,317,84,176,30,3,31,4,209
WARD 9,5462,CHAPPELLE AREA,17,137,50,10,164,21,205,28,6,60,11,"2,128"
WARD 9,5565,WHITEMUD CREEK RAVINE TWIN BROOKS,0,0,0,0,0,0,0,0,0,0,0,0
WARD 11,6610,RITCHIE,66,581,211,17,383,132,568,101,34,231,63,500
WARD 2,1110,EDMONTON MUNICIPAL AIRPORT,0,0,0,0,0,0,0,0,0,0,0,0
WARD 4,2630,RIVER VALLEY HERMITAGE,0,0,0,0,0,0,0,0,0,0,0,0
WARD 9,5100,BULYEA HEIGHTS,27,182,21,7,135,42,338,50,27,139,37,373
WARD 8,6230,FOREST HEIGHTS,104,470,149,17,295,76,402,68,17,118,29,"1,223"
WARD 9,5380,RIVER VALLEY TERWILLEGAR,0,0,0,0,0,0,0,0,0,0,0,0
WARD 3,3370,RAPPERSWILL,18,98,33,7,123,13,126,10,5,29,5,"1,040"
WARD 4,2380,KENNEDALE INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,0
WARD 9,5577,GLENRIDDING AREA,13,72,20,11,93,100,157,78,3,35,5,208
WARD 2,3450,WOODCROFT,102,254,42,10,173,38,145,13,6,37,7,717
WARD 11,6640,ROPER INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,0
WARD 10,5560,WHITEMUD CREEK RAVINE SOUTH,0,0,0,0,0,0,0,0,0,0,0,0
WARD 1,4540,TERRA LOSA,80,347,55,3,224,36,221,13,6,57,8,802
WARD 9,5451,RICHFORD,23,112,11,5,76,9,119,13,9,32,9,229
WARD 1,4030,ARMSTRONG INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,160
WARD 3,2440,KLARVATTEN,222,770,201,18,469,151,328,35,8,59,13,"1,122"
WARD 1,4310,MEADOWLARK PARK,78,525,141,9,367,65,296,25,4,75,9,448
WARD 2,3320,OXFORD,131,513,139,9,381,123,305,35,13,69,11,"1,054"
WARD 6,1020,BOYLE STREET,426,876,122,15,477,78,366,49,10,126,18,"2,028"
WARD 1,4020,ALDERGROVE,210,801,145,16,529,76,305,281,37,110,18,412
WARD 1,4473,HAWKS RIDGE,5,120,13,0,30,9,33,9,1,11,1,92
WARD 2,4050,BONAVENTURE INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,0
WARD 3,2463,CRYSTALLINA NERA WEST,5,38,16,1,45,7,36,12,2,4,0,666
WARD 9,5190,FALCONER HEIGHTS,27,168,19,2,131,37,233,45,11,94,39,225
WARD 4,2670,RURAL NORTH EAST HORSE HILL,4,17,3,0,2,1,12,2,0,1,1,390
WARD 9,5230,HENDERSON ESTATES,45,241,25,8,163,22,365,51,59,105,43,196
WARD 11,6700,STRATHCONA INDUSTRIAL PARK,0,0,0,0,0,0,0,0,0,0,0,0
WARD 12,6665,ANTHONY HENDAY SOUTHEAST,0,0,0,0,0,0,0,0,0,0,0,0
WARD 1,4490,SHEFFIELD INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,0
WARD 5,4451,RIVER VALLEY OLESKIW,0,0,0,0,0,0,0,0,0,0,0,0
WARD 3,2241,EAUX CLAIRES,185,560,115,11,309,35,252,30,6,45,4,997
WARD 12,6444,LAUREL,110,436,98,13,316,45,444,16,9,180,11,"3,137"
WARD 5,4467,RIVER VALLEY CAMERON,0,0,0,0,0,0,0,0,0,0,0,0
WARD 1,4630,WHITE INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,0
WARD 2,3060,CAERNARVON,82,400,90,15,229,60,116,26,2,24,3,"2,545"
WARD 8,6180,EASTGATE BUSINESS PARK,0,0,0,0,0,0,0,0,0,0,0,0
WARD 9,5080,BRANDER GARDENS,34,232,30,4,167,37,257,33,14,105,39,882
WARD 11,6090,CORONET ADDITION INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,0
WARD 1,4471,TRUMPETER AREA,14,129,61,2,141,25,129,28,7,29,1,176
WARD 1,4040,BELMEAD,140,594,90,12,379,87,263,85,10,57,12,"1,819"
WARD 3,2450,LAGO LINDO,133,839,144,18,412,48,282,34,3,42,5,79
WARD 2,3070,CALDER,215,637,134,13,312,82,90,21,4,22,2,832
WARD 9,5130,CARTER CREST,25,193,22,0,171,59,274,36,19,94,40,29
WARD 1,4010,ALBERTA PARK INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,0
WARD 11,6760,TWEDDLE PLACE,68,317,89,14,215,45,134,23,6,65,9,162
WARD 5,3270,LAURIER HEIGHTS,28,270,39,15,182,81,465,106,37,172,48,600
WARD 11,6110,CPR IRVINE,1,14,6,0,7,6,34,2,5,17,4,21
WARD 5,4110,DECHENE,37,201,39,3,159,20,233,29,6,38,6,440
WARD 10,5120,CALGARY TRAIL SOUTH,0,0,0,0,0,0,0,0,0,0,0,0
WARD 10,5210,GRANDVIEW HEIGHTS,19,76,7,3,51,13,195,36,36,87,56,190
WARD 2,3111,GRIESBACH,84,409,100,11,305,58,326,82,20,110,13,"1,141"
WARD 11,6170,DAVIES INDUSTRIAL WEST,0,0,0,0,0,0,0,0,0,0,0,0
WARD 12,6580,POLLARD MEADOWS,113,534,192,10,199,40,300,19,10,58,6,"2,158"
WARD 9,5401,RIVER VALLEY FORT EDMONTON,0,0,0,0,0,0,0,0,0,0,0,0
WARD 9,5456,HERITAGE VALLEY AREA,0,0,0,0,0,0,0,0,0,0,0,0
WARD 9,5453,BLACKMUD CREEK,67,362,102,26,321,52,407,63,14,132,31,325
WARD 12,6330,JACKSON HEIGHTS,99,450,70,12,253,53,240,57,8,68,6,"1,275"
WARD 11,6430,MCINTYRE INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,0
WARD 4,2590,OVERLANDERS,154,494,101,19,279,21,82,38,4,30,6,607
WARD 2,1230,SPRUCE AVENUE,53,171,24,4,78,12,69,17,2,18,3,941
WARD 2,3430,WELLINGTON,104,418,84,11,284,57,117,22,4,27,5,969
WARD 2,3150,CUMBERLAND,147,844,215,54,738,223,395,150,27,82,7,281
WARD 1,4470,RURAL WEST BIG LAKE,4,20,3,0,4,0,1,1,0,0,0,87
WARD 10,5010,ALLENDALE,38,166,33,7,101,21,163,13,5,57,14,"1,368"
WARD 5,4570,WEDGEWOOD HEIGHTS,28,187,38,3,122,24,188,52,29,45,14,19
WARD 11,6590,PYLYPOW INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,0
WARD 3,3190,ELSINORE,39,181,39,9,156,31,113,26,2,27,2,"1,306"
WARD 5,4440,RIVER VALLEY LESSARD NORTH,0,0,0,0,0,0,0,0,0,0,0,0
WARD 12,6530,MINCHAU,41,176,56,18,138,34,99,18,0,13,9,860
WARD 9,5464,HERITAGE VALLEY TOWN CENTRE AREA,6,23,5,0,25,5,34,3,0,10,0,352
WARD 4,2681,EDMONTON ENERGY AND TECHNOLOGY PARK,2,6,3,0,6,3,1,0,0,0,0,238
WARD 9,5468,GRAYDON HILL,0,16,5,0,13,2,17,0,0,5,0,4
WARD 10,5360,RIDEAU PARK,63,300,46,8,213,40,210,27,7,77,22,56
WARD 10,5540,WESTBROOK ESTATES,17,82,8,5,65,46,118,66,23,67,26,148
WARD 7,1080,DELTON,176,385,42,24,168,21,105,12,4,17,2,553
WARD 7,2090,BERGMAN,80,231,51,7,118,22,32,11,1,8,0,644
WARD 1,4474,STARLING,4,109,9,2,46,5,25,8,2,5,1,385
WARD 4,2130,CASSELMAN,187,674,109,12,369,47,296,25,7,42,7,"1,111"
WARD 9,5452,MACEWAN,141,632,182,8,527,94,672,78,14,197,47,"1,595"
WARD 11,6492,MILL CREEK RAVINE SOUTH,0,0,0,0,0,0,0,0,0,0,0,0
WARD 9,5570,WINDERMERE,63,455,156,37,478,241,782,273,73,253,72,"1,527"
WARD 10,5470,STEINHAUER,69,362,61,10,246,32,332,39,9,91,42,374
WARD 6,1220,ROSSDALE,14,94,20,6,74,22,128,17,9,59,19,180
WARD 7,1160,PARKDALE,185,397,61,8,174,74,127,23,2,56,10,"1,290"
WARD 5,4012,ANTHONY HENDAY SOUTH WEST,0,0,0,0,0,0,0,0,0,0,0,0
WARD 11,6400,LEE RIDGE,74,187,46,9,112,9,97,18,2,31,4,910
WARD 2,3260,LAUDERDALE,129,358,104,15,160,37,79,22,3,23,5,"1,032"
WARD 1,4400,PLACE LARUE,0,0,0,0,0,0,0,0,0,0,0,0
WARD 12,6790,WILD ROSE,243,938,156,17,530,119,464,72,17,125,24,"2,569"
WARD 7,2330,HIGHLANDS,75,322,92,20,284,96,302,62,5,117,29,426
WARD 7,1100,EASTWOOD,201,645,95,3,248,33,121,23,2,25,4,"1,282"
WARD 8,6730,TERRACE HEIGHTS,60,249,59,11,140,23,173,12,1,48,5,707
WARD 9,5476,MAGRATH HEIGHTS,47,290,50,7,220,49,547,89,85,178,51,450
WARD 1,4750,ROSENTHAL,10,90,25,3,84,12,119,10,7,18,1,304
WARD 9,5505,AMBLESIDE,53,475,120,16,441,161,642,124,73,205,40,194
WARD 6,1200,RIVER VALLEY VICTORIA,0,0,0,0,0,0,0,0,0,0,0,0
WARD 10,5020,ASPEN GARDENS,11,187,42,6,132,43,269,54,19,112,53,327
WARD 9,5090,BROOKSIDE,23,167,29,9,125,32,239,54,30,108,43,57
WARD 9,5640,TERWILLEGAR TOWNE,64,474,100,14,413,113,646,162,48,217,94,"1,989"
WARD 1,4600,WEST SHEFFIELD INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,0
WARD 12,6390,LARKSPUR,237,"1,085",222,38,692,121,581,82,17,173,28,142
WARD 12,6442,SILVER BERRY,117,933,95,14,339,165,388,75,10,133,11,649
WARD 3,3080,CANOSSA,77,476,100,13,274,36,239,13,2,40,6,"1,355"
WARD 9,5340,RAMSAY HEIGHTS,45,452,85,25,373,74,609,73,54,229,99,484
WARD 5,4463,RIVERVIEW AREA,13,77,13,6,31,7,53,6,2,7,2,61
WARD 10,5170,EMPIRE PARK,142,741,125,34,452,138,581,31,9,134,37,520
WARD 1,4475,KINOKAMAU PLAINS AREA,1,78,4,2,8,1,2,5,1,0,0,0
WARD 9,5454,RUTHERFORD,192,"1,270",283,40,"1,212",284,"1,558",178,41,478,110,"1,153"
WARD 10,5280,MALMO PLAINS,30,265,45,11,203,35,437,43,19,225,88,"1,299"
WARD 11,6470,MEYONOHK,105,410,111,10,215,27,130,110,3,29,6,184
WARD 5,4462,EDGEMONT,17,91,25,3,104,8,163,20,5,27,7,577
WARD 9,5463,DESROCHERS AREA,0,0,0,0,0,0,0,0,0,0,0,0
WARD 8,5330,QUEEN ALEXANDRA,77,572,88,10,330,46,820,56,36,316,108,"1,089"
WARD 10,5490,SWEET GRASS,30,280,28,5,202,26,305,35,9,98,33,"1,302"
WARD 3,4016,ANTHONY HENDAY CASTLEDOWNS,0,0,0,0,0,0,0,0,0,0,0,0
WARD 1,4650,WINTERBURN INDUSTRIAL AREA EAST,0,0,0,0,0,0,0,0,0,0,0,0
WARD 8,6630,RIVER VALLEY RIVERSIDE,0,0,0,0,0,0,0,0,0,0,0,0
WARD 4,2430,KIRKNESS,269,926,138,28,427,123,183,21,6,45,3,469
WARD 2,3010,ATHLONE,167,545,114,13,302,44,179,11,1,26,3,992
WARD 5,4120,DONSDALE,31,204,13,4,140,20,243,31,34,53,23,278
WARD 7,2360,INDUSTRIAL HEIGHTS,0,0,0,0,0,0,0,0,0,0,0,0
WARD 7,2660,RUNDLE HEIGHTS,203,502,142,9,272,41,53,11,1,17,6,"1,208"
WARD 9,5405,RIVER VALLEY WINDERMERE,0,0,0,0,0,0,0,0,0,0,0,0
WARD 3,2050,BELLE RIVE,144,634,97,8,376,203,168,32,8,29,3,956
WARD 1,4486,STEWART GREENS,1,17,4,1,14,0,23,1,0,1,1,123
WARD 9,5511,TWIN BROOKS,109,897,131,30,597,127,"1,074",128,62,341,118,776
WARD 5,4270,LYMBURN,223,"1,093",159,66,646,105,531,90,54,132,17,867
WARD 2,4015,ANTHONY HENDAY MISTATIM,0,0,0,0,0,0,0,0,0,0,0,0
WARD 7,2580,NORTHMOUNT,157,418,84,13,172,48,123,26,1,31,8,716
